Module,Method,Endpoint,Description,Request Params/Body,Response,FE
autions,POST,/api/auctions,Tạo một phiên đấu giá mới,AuctionRequest,AuctionResponse,Chưa có
,GET,/api/auctions,Lấy danh sách phiên đấu giá (lọc + phân trang),"Query: status, categoryId, keyword, page, size, sort",Page<AuctionResponse>,Chưa có
,GET,/api/auctions/{id},Lấy chi tiết 1 phiên đấu giá theo ID,id,AuctionResponse,Chưa có
,PUT,/api/auctions/{id},Cập nhật thông tin đấu giá,"id, AuctionRequest",AuctionResponse,Chưa có
,DELETE,/api/auctions/{id},Xóa phiên đấu giá,id,No Content,Chưa có
,POST,/api/auctions/{auctionId}/start,Bắt đầu đấu giá (OPEN),auctionId,OK,Chưa có
,POST,/api/auctions/{auctionId}/close,Đóng đấu giá (CLOSE),auctionId,OK,Chưa có
,GET,/api/auctions/active,Lấy danh sách đấu giá đang hoạt động,None,List<AuctionResponse>,Chưa có
bid,POST,/api/bids,Đặt giá thầu thủ công,BidRequest,BidResponse,Chưa có
,POST,/api/bids/auto,Đặt giá thầu tự động,BidRequest,BidResponse,Chưa có
,GET,/api/bids/auction/{auctionId},Lấy tất cả các bid trong một phiên đấu giá,auctionId,List<BidResponse>,Chưa có
,GET,/api/bids/auction/{auctionId}/highest,Lấy bid cao nhất trong một phiên đấu giá,auctionId,BidResponse,Chưa có
,GET,/api/bids/user/{userId},Lấy danh sách bid của 1 người dùng,userId,List<BidResponse>,Chưa có
auth,POST,/api/auth/register,Đăng ký tài khoản mới,RegisterRequest,AuthResponse,Đã có
,POST,/api/auth/login,Đăng nhập,LoginRequest,AuthResponse,Đã có
,GET,/api/auth/verify?token=...,Xác thực email thông qua token,token,HTML,Đã có
,POST,/api/auth/resend-verification?email=...,Gửi lại email xác thực,email,String message,Đã có
transaction,POST,/api/transactions/after-auction/{txnId}/pay,Buyer thanh toán giao dịch sau đấu giá,"txnId, buyerId",TransactionAfterAuctionResponse,Chưa có
,PUT,/api/transactions/after-auction/{txnId}/status,Cập nhật trạng thái giao dịch,"txnId, status",TransactionAfterAuctionResponse,Chưa có
,PUT,/api/transactions/after-auction/{txnId}/cancel,"Huỷ giao dịch (chỉ khi PENDING, SHIPPED, PAID)","txnId, reason?",TransactionAfterAuctionResponse,Chưa có
,GET,/api/transactions/after-auction/user/{userId},Lấy tất cả giao dịch của 1 user,userId,List<TransactionAfterAuctionResponse>,Chưa có
,GET,/api/transactions/after-auction/auction/{auctionId},Lấy giao dịch theo phiên đấu giá,auctionId,TransactionAfterAuctionResponse,Chưa có
user,GET,/api/users/me,Lấy thông tin của chính user đang đăng nhập,Auth context,UserResponse,Đã có
,PUT,/api/users/me,Cập nhật thông tin cá nhân,UpdateUserDTO,UserResponse,Đã có
,PATCH,/api/users/change-password,Đổi mật khẩu,ChangePasswordRequest,String message,Đã có
,PUT,/api/users/me/avatar,Cập nhật avatar (upload file ảnh),MultipartFile file,avatarUrl (String),Đã có
admin,PUT,/api/admin/users/{id}/ban,Cấm 1 user bất kì,"id, request",,Đã có
,PUT,/api/admin/users/{id}/unban,Gỡ cấm 1 user đang bị ban,id,,Đã có
,GET,/api/admin/users/{id},,,,
,GET,,,,,
,GET,,,,,
,DELETE,,,,,
product,POST,/api/products,tạo product mới,ProductCreateRequest,ProductResponse,
,PUT,/api/products/{id},cập nhật thông tin product,ProductUpdateRequest,ProductResponse,
,GET,/api/products/{id},lấy product theo id,"Query: page (default 0), size (default 10)",Page<ProductResponse>,
,GET,/api/products/page,lấy product theo phân trang(public dành cho bidder xem),id (path),ProductResponse,
,DELETE,/api/products/{id},xóa mềm product,id (path),String message + productId + deletedAt,
,GET,/api/products/seller/me/page,tìm kiếm product theo phân trang(trong trang của seller) lấy theo id của seller qua token,"Query: page (default 0), size (default 10)",Page<ProductResponse>,
,PUT,/api/products/{id}/approve,"approve yêu cầu tạo auction của 1 product api này gán deposit,estimate price và chuyển status của product thành cacelled hoặc approved, api này yêu cầu quyền của kiểm duyệt viên hoặc admin",ProductApprovalRequest,ProductResponse,
,PUT,,,,,
,PUT,,,,,
,PUT,,,,,
,PUT,,,,,
,PUT,,,,,
,PUT,,,,,
,PUT,,,,,
,PUT,,,,,
,PUT,,,,,
,PUT,,,,,